126397,146055,106171,5983,209
147295,117287,33349,108132,94257
65324,111567,97822,152185,143198
16854,83396,129081,40104,86662
115083,13867,38518,95755,44117
49529,54591,36387,55577,20522
50180,906,117697,519,86687
107897,72047,159488,119223,56783
85760,125016,18113,146391,135597
122484,151189,2575,61070,102259
26785,28373,161180,103021,56912
24181,48557,101795,56251,147688
127984,81611,131607,47956,70057
65860,62194,161407,161291,111101
67089,136167,8287,52206,153166
83101,144577,61276,71533,33365
60214,85035,71424,142806,118218
38066,145747,89649,148665,40837
13444,143799,35255,91687,105571
68324,139257,109839,153689,160458
2109,156633,5924,148575,68306
18643,82892,7005,83238,69270
155022,44826,71682,92841,44083
82513,149049,146847,1155,109933
75204,3305,101493,127404,97076
66762,128021,62519,90093,80888
41989,9885,17478,128739,25664
52545,43857,115384,95281,4671
98887,65105,42398,108817,40580
6236,18997,49346,8836,150705
113165,87035,137942,108884,136753
63356,152791,111064,6237,70828
115607,28720,111078,88070,148070
9627,91978,6081,88588,58628
112648,18878,102950,55087,55076
77584,9810,72864,120295,18575
151715,104603,5108,39997,44926
146434,42434,149263,45502,146901
98703,142843,56800,157491,101139
27344,64520,67774,65303,25872
52510,77920,155488,7508,125063
21486,245,85948,133430,60177
24188,50048,11169,15574,87870
32938,109557,101170,32352,79906
155807,152798,150762,94385,62343
23230,122362,105669,127126,35823
76384,49760,38763,134944,42116
151590,146948,149701,12214,112718
143948,94341,11688,142466,7733
62640,90785,124078,50727,4424
140427,88781,39162,45990,36258
92492,88121,71247,42132,64131
134300,11133,114831,143475,140864
10393,76035,138337,64457,26624
1076,20431,17309,85756,129658
1035,40478,134199,77779,2687
46251,78993,14742,136602,49423
12488,10394,76488,27164,90078
34005,89802,122825,65987,31668
15469,22170,42992,47140,149230
30253,31045,23571,15676,83054
120496,119680,95528,142778,121649
13612,4329,49063,49927,55562
103635,53184,94540,105512,119006
141174,38032,101654,65375,122867
75820,71480,69445,35938,22768
144209,74886,10393,93326,59968
1033,20501,157090,123323,75999
76519,127370,60907,79167,108596
63662,2291,3304,41392,83498
90403,60821,18822,18486,97185
80062,40115,34665,36155,120831
16629,117926,46892,123931,61522
156676,76505,139883,136679,23435
3783,23585,47323,79580,134944
130515,8052,132855,158331,40547
86776,133505,39564,57761,130498
7581,24753,105065,129601,115405
56909,39393,40099,34058,110940
42338,29380,74041,23330,143574
143224,64921,146248,155146,20696
27420,61094,81249,61671,68444
6627,33311,25110,148790,148995
74635,156827,20299,115197,120517
22630,137567,40561,110839,118694
138488,79974,99903,75073,9915
53095,139629,14040,49644,68944
137993,131431,48612,94546,59027
131942,65477,104305,142011,20410
78275,147452,96070,79290,86925
65555,50539,135349,160061,74903
121189,23419,35958,38182,18313
123476,118428,92226,65472,82252
56987,3060,141921,47143,65571
130166,32987,148910,86622,74566
36089,38661,132257,83223,84638
89009,81225,14164,159161,577
115751,79993,107320,134981,92782
63716,96218,158991,62916,102310
33038,135199,7417,98355,84255
81,71699,40133,65570,29641
64503,130819,41312,7335,84331
121408,75408,144041,58558,80901
90404,51793,156032,82597,29473
111395,24231,102085,85029,86874
36545,120662,95017,139221,47769
154466,154846,53834,100567,137623
8827,159811,161155,32361,114516
17081,112992,144054,47331,11550
111342,12581,145611,125766,34243
121623,8538,60086,3159,146955
158775,147058,19363,142925,18878
73698,94088,130713,114868,54583
18444,62747,26213,125789,151751
40452,155584,67398,71595,152603
100758,66644,129816,106077,51463
55905,55780,135215,81221,26148
42041,107540,4142,121890,124904
16408,137885,29016,79762,100967
134224,113051,76973,108534,85769
2034,42595,149106,160071,118296
141354,103304,4908,102447,135886
54979,32029,70427,125842,106813
70813,2881,84790,68349,19818
107787,86616,137831,30979,141507
68001,159253,12177,150563,16759
43511,113665,78301,67409,63381
59068,131420,114328,136352,13605
107968,101686,101748,124418,5820
16515,89209,51771,36244,43388
137164,49812,97918,11601,72367
89171,66209,23190,81818,40854
25361,130014,100698,50419,96455
51120,38343,67889,128920,156549
89102,112110,19572,50416,117399
64437,107949,2918,68899,9592
108497,30112,94209,138782,122433
134918,4555,8150,51914,12749
7309,99327,128298,87229,146164
87428,137118,90247,52597,127749
41501,137870,102751,28632,48522
6067,112266,127074,137627,13601
103702,21515,35811,36277,95318
103076,55772,143627,158612,100283
14940,19599,112119,40324,64322
150044,120544,90283,26271,48823
33281,120335,73210,156229,81489
28358,138075,93875,24589,142384
98973,100350,64265,87477,50524
150303,104181,32036,8732,26801
141599,137602,13829,1168,105979
37279,54021,31711,3980,155702
1038,20145,29327,128808,43811
150273,99326,110177,142732,8185
112933,42899,13345,50908,72894
14861,136800,100765,97410,127155
84857,41441,36586,25325,73716
9513,75256,75268,55989,64845
12413,145416,156380,128718,138425
102751,72437,130418,64980,31415
23997,17928,6736,5654,63075
79156,57353,92262,104974,130728
38592,79711,2704,68394,68800
83241,40505,156782,113070,100300
51393,114195,84837,4782,233
85192,2587,75652,38885,145427
138964,107679,137402,121344,153938
157568,30992,92241,128536,76737
15957,146709,98177,80823,102348
35428,149614,111259,56534,100118
159214,147793,158633,58458,19330
33888,65780,131299,10238,6021
26788,65022,80978,34903,47487
134391,23005,115685,156378,128093
141259,59299,105293,117737,143890
79064,142289,60102,156377,161046
94790,34636,94848,8000,10669
11512,6312,14170,52899,12396
54250,9933,44500,143388,2949
94037,75035,71028,120352,42107
124299,139251,117669,26147,116840
1547,160680,21235,147022,40595
95209,67396,5170,89790,49297
95387,70491,47920,137829,72514
57763,46886,17713,143220,121650
40900,78954,88871,96787,58028
54691,70243,123975,29214,89618
149680,100472,19534,20465,133346
21980,66943,68513,5304,101846
137507,127438,152129,46384,158861
27089,98900,111602,92360,99116
123200,126328,32913,51037,150115
132252,94760,134605,7046,151700
111253,93322,101251,22030,54061
133995,80995,110203,97486,159031
103058,101238,116827,81440,10169
90851,150185,44460,136919,158292
121451,33334,92828,132665,79460
118183,27850,90853,99041,19970
153039,88500,26366,46145,130480
137078,57403,56478,113778,154377
73290,156342,89948,21573,160116
33076,15752,67122,43507,39766
11686,94324,126490,26261,28548
4688,83760,85485,107988,44320
37909,136755,88037,9517,25766
22964,127647,65500,125142,123200
106753,105183,53830,147006,63483
77953,84089,41077,130271,42261
84412,130605,153844,65699,125108
115389,44603,152900,48526,82763
84137,42541,17659,22574,76178
73478,116175,706,158448,125424
103045,115954,26472,42338,108397
35508,39603,90632,14155,156998
116119,52375,107736,126625,8445
45898,87243,143504,85970,117765
107297,113333,58156,119403,93729
103375,73630,21333,104669,123212
130771,5450,3953,72986,115751
55253,95242,1950,84346,59572
119086,66425,141475,140933,25168
140063,118698,131648,78948,7205
111926,155880,112748,127318,31132
111026,89907,103944,130513,53497
42467,119827,43189,151480,94462
7281,141989,70778,5968,82269
85589,124871,73391,118663,11271
152851,136219,58844,117985,100402
126457,139443,152080,37500,60132
21866,59402,130856,92117,12849
52252,89449,25425,104302,77669
213,52479,158500,53573,115172
41857,21032,12862,41717,139759
30255,106732,33762,157568,45132
79745,152207,74660,26052,89554
72743,32560,117053,2599,25316
109281,149034,130898,118375,4621
45106,19944,47750,124731,132238
34435,102408,91608,105454,108880
115069,83600,50278,61496,6329
117588,26544,63557,106264,13265
74343,146184,73920,113117,42726
52207,67663,20535,20350,135209
64976,126814,88748,140370,87462
133818,25509,66892,158837,143623
143631,151956,22274,93259,85458
18737,60002,96314,43249,76564
59945,6365,110088,113536,90050
4506,64602,78167,86364,134057
22538,54139,100681,74929,109380
150618,135512,84044,26800,91822
77481,9439,21878,84839,73113
149353,101822,47952,112609,53669
68203,13533,42681,103341,118242
4823,13396,131137,52751,155975
147056,156273,18384,93670,25234
98933,136289,127059,19940,8096
51935,15133,34266,120922,126913
14991,46170,139069,57108,69640
11910,3061,33921,45539,151285
72153,130143,26996,112246,97546
145244,139921,54023,9822,113556
30584,47426,124795,129716,139917
104454,58585,150985,70812,414
159248,32658,36828,125985,6614
40988,97457,66897,82464,20073
20574,17408,124023,21205,62935
120195,152323,92247,35267,25562
46123,1546,92135,83414,83527
32656,85207,78026,120057,140084
106292,22255,137311,127467,64179
38491,51605,144290,97123,134923
144082,39010,131200,128683,85694
1244,107385,39030,37861,3221
25835,160712,1391,131262,138703
129128,126628,158778,153646,82450
5691,113763,119753,152327,18929
118359,14977,65608,75334,100716
47638,85884,24802,116137,161434
40243,20679,50669,159015,34724
97881,59879,120525,80329,118673
9077,96614,156287,153449,58225
5303,73019,55337,77987,79999
155088,5302,83929,152895,108636
40336,67651,59741,61759,46919
155318,68663,21499,31192,105818
29899,125943,160770,67625,13955
123299,115063,158458,151958,24117
15934,139322,132348,115129,44446
69374,12424,38948,19968,86786
10651,160102,124472,105807,125383
76376,143862,61325,86781,124006
49428,80940,78604,9915,58410
62000,21412,41376,152540,51227
34583,120430,137919,126613,31179
160025,26170,45729,144367,158239
104198,21577,81300,94666,112518
26174,150155,142709,48077,115889
73519,19946,34152,146907,30804
138352,18659,87045,58217,83125
44575,67187,32389,44702,47299
79717,85053,18474,34881,134991
138854,16237,16490,104703,58815
46903,48576,76096,146704,131923
85365,99974,129565,83617,144973
79955,13992,84544,139209,102042
15599,35703,5432,40726,89351
37120,41508,9842,93686,124326
22303,42782,141511,103037,121544
80707,150333,70703,114158,12019
81940,127301,89966,102113,2581
37069,24133,93332,129169,106295
115303,30839,32613,94257,74983
97274,15273,69047,120545,39935
36918,100714,22552,151440,96133
120710,64790,61577,110888,71698
7855,125913,9861,109602,25744
22973,94387,118237,70381,120082
19233,156625,84229,160325,154928
160694,38025,53692,33814,43276
114486,91187,29737,62054,61801
75327,82049,26502,51572,60030
92102,93490,117402,142173,122796
71474,21216,21896,117372,52709
152678,159546,40954,33625,115574
132405,92217,65051,152846,92754
70020,50271,102701,112819,7332
152996,120035,4081,86370,157973
68976,121870,18242,50824,131799
35036,124570,51178,4909,126322
50216,91566,98727,132375,133456
110638,25622,74635,69056,23216
122219,42268,42463,75623,52434
30361,73408,72758,141480,30235
104351,63339,112737,114169,47292
13218,55220,21556,156736,68495
868,53696,78935,102630,81946
55215,105990,18237,117962,148873
136023,123652,34059,136478,105177
35367,9461,146418,15869,60510
4405,24451,142823,113761,142948
156943,25107,9961,109690,79673
100259,63771,11646,140050,53844
36066,71031,66232,86699,2378
59501,86627,146603,24293,91185
58308,58978,123853,44747,103717
25339,85168,71733,116269,134629
156412,11152,84726,32239,3780
153462,53830,20830,38987,1749
129494,146841,160035,93095,101921
125839,10086,82848,83698,100559
131511,99806,147295,72975,157932
78885,71734,741,50881,25775
26915,75498,159564,87592,96245
25426,18486,161086,63808,17439
9892,4439,79214,96533,117100
40847,94579,105195,71084,48306
153816,92709,18196,110748,131931
140972,40339,119155,14710,103274
41978,21369,111192,120952,15360
157949,150310,15487,155187,78137
104439,94986,104248,142740,90373
112985,75093,81329,27955,16829
101329,3195,93857,152145,46283
28426,24239,160025,22655,153729
108029,17654,131868,65729,26655
23495,102525,119111,93904,7068
130682,19556,58176,86387,31996
15342,27803,113939,134644,128265
39982,8513,142635,68147,22387
53395,9521,21821,26489,153366
14453,132596,135234,124278,28029
49100,99038,46431,50546,161397
116775,70145,88056,75466,35036
156648,135911,11191,40400,5715
156283,18129,33398,52267,80373
68353,1789,134541,7015,97964
1444,156581,58793,32257,65655
29182,45528,111666,92470,76402
45239,34056,88875,119983,82468
95617,123698,47577,48400,32246
47290,88411,7769,59333,125661
117742,65251,157728,48725,144079
18150,161732,19389,75616,7566
83013,125871,26288,101640,66663
98567,44115,71011,85567,18543
138919,45717,75984,153676,9022
63358,22301,23311,38382,70826
83818,20311,7767,12044,107227
44849,58119,147187,14000,130244
118710,44221,26030,93071,27733
133116,68625,130244,101259,12112
36719,33051,111547,5703,147741
39890,86804,126780,157388,141220
23316,69885,39174,57583,96576
51530,11104,39965,148987,31982
43696,114336,76310,149749,97433
68468,58092,20603,59017,159380
724,148638,133873,92240,43094
67465,120949,56483,47619,59637
40486,69335,39457,114506,86016
145908,36765,38550,59027,139271
28294,12074,11937,104883,90946
45511,75586,9600,43366,92857
110835,3797,43826,159763,27283
124521,131425,155524,24104,33921
24275,73467,6639,56027,157995
111161,74869,31019,21859,104297
161567,128286,124248,27357,155150
27525,28822,159701,32529,50280
18331,106925,9011,101701,32585
67702,42853,119950,61409,129607
121050,84774,140664,14857,112171
21245,109983,36478,129895,141692
132201,65284,157665,21361,110656
138036,85824,127082,142023,42472
103903,116266,51992,137856,64220
85645,10964,110637,27011,153559
80264,152936,1595,38698,7825
20080,29818,153801,55698,3097
110983,40552,78993,91870,23262
138323,26858,72692,104531,133541
111452,73034,102514,154954,8184
42578,92865,159259,20034,37397
5851,3550,135049,93218,141256
71921,3506,62605,105078,85177
110523,93165,9997,121534,136829
136143,87009,117884,17460,101571
118127,78395,122784,51706,37988
153187,61607,78236,149957,77643
97640,151849,5077,108365,35829
13860,127336,138809,140661,32651
63165,104395,47249,146824,56784
68040,145734,100819,14769,4957
160926,34300,46599,137249,122732
38013,22710,91950,151421,53446
39966,29420,121817,144424,85958
8698,15857,65996,61382,120235
153109,81522,157706,125145,107495
3722,155523,44781,40812,150229
123280,154009,132328,34828,133893
141785,69250,42638,72429,44071
119809,17710,64054,74587,101762
89828,88450,50590,43850,37035
122685,63820,96321,116156,29821
51270,91076,119291,35562,123279
160782,73909,142843,33808,40799
94214,151344,30082,76273,90643
38229,14787,12763,96302,63595
93317,61690,86392,56192,66113
5962,160603,89875,7329,31471
4396,18296,124283,60884,29881
23847,4680,117260,7379,96587
16392,115600,157975,159235,26406
114099,13840,126452,86176,49525
115333,159307,159969,51188,18685
